BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE,INSTRUMENT
RTSI,RTSI,2021-10-01,Индекс РТС,Индекс РТС,1771.5,1762.31,1776.24,1754.69,1168862033.2315145,0.0,0.0,2.0,282475037494.22595,USD,159455366.0127,3,,2021-10-01,,RTSI
RTSI,RTSI,2021-10-04,Индекс РТС,Индекс РТС,1785.75,1775.49,1791.34,1769.91,1960150731.802657,0.0,0.0,2.0,284747671347.45544,USD,159455366.0127,3,,2021-10-04,,RTSI
RTSI,RTSI,2021-10-05,Индекс РТС,Индекс РТС,1840.11,1793.01,1840.37,1793.01,2457416284.9455824,0.0,0.0,2.0,293415974199.14764,USD,159455366.0127,3,,2021-10-05,,RTSI
RTSI,RTSI,2021-10-06,Индекс РТС,Индекс РТС,1814.64,1854.48,1854.97,1808.41,2871314592.8756847,0.0,0.0,2.0,289353582181.49524,USD,159455366.0127,3,,2021-10-06,,RTSI
RTSI,RTSI,2021-10-07,Индекс РТС,Индекс РТС,1853.99,1840.11,1856.58,1818.69,2222949202.0968585,0.0,0.0,2.0,295627880870.7525,USD,159455366.0127,3,,2021-10-07,,RTSI
RTSI,RTSI,2021-10-08,Индекс РТС,Индекс РТС,1860.96,1852.83,1866.89,1845.19,1501538890.6942384,0.0,0.0,2.0,296739963838.91785,USD,159455366.0127,3,,2021-10-08,,RTSI
RTSI,RTSI,2021-10-11,Индекс РТС,Индекс РТС,1882.43,1871.73,1883.71,1867.58,1766893340.9768384,0.0,0.0,2.0,300163649064.4705,USD,159455366.0127,3,,2021-10-11,,RTSI
RTSI,RTSI,2021-10-12,Индекс РТС,Индекс РТС,1869.94,1867.33,1876.79,1860.64,1385574184.0580475,0.0,0.0,2.0,298171795388.7918,USD,159455366.0127,3,,2021-10-12,,RTSI
RTSI,RTSI,2021-10-13,Индекс РТС,Индекс РТС,1855.11,1869.05,1869.05,1835.8,1829522649.9889686,0.0,0.0,2.0,295806909775.3794,USD,159455366.0127,3,,2021-10-13,,RTSI
RTSI,RTSI,2021-10-14,Индекс РТС,Индекс РТС,1875.97,1875.38,1890.46,1873.37,1493610093.7161376,0.0,0.0,2.0,299133868132.9533,USD,159455366.0127,3,,2021-10-14,,RTSI
RTSI,RTSI,2021-10-15,Индекс РТС,Индекс РТС,1891.56,1888.52,1893.71,1878.47,1304484131.0357752,0.0,0.0,2.0,301618839220.0807,USD,159455366.0127,3,,2021-10-15,,RTSI
RTSI,RTSI,2021-10-18,Индекс РТС,Индекс РТС,1876.56,1884.39,1884.39,1869.25,1373877063.3477058,0.0,0.0,2.0,299227984933.2566,USD,159455366.0127,3,,2021-10-18,,RTSI
RTSI,RTSI,2021-10-19,Индекс РТС,Индекс РТС,1900.04,1890.05,1901.94,1880.34,1449999353.9597712,0.0,0.0,2.0,302971513541.20636,USD,159455366.0127,3,,2021-10-19,,RTSI
RTSI,RTSI,2021-10-20,Индекс РТС,Индекс РТС,1904.77,1900.69,1906.85,1889.05,1280797395.8317175,0.0,0.0,2.0,303726312095.8356,USD,159455366.0127,3,,2021-10-20,,RTSI
RTSI,RTSI,2021-10-21,Индекс РТС,Индекс РТС,1868.16,1897.21,1900.99,1865.38,1210991356.0583377,0.0,0.0,2.0,297887525275.8687,USD,159455366.0127,3,,2021-10-21,,RTSI
RTSI,RTSI,2021-10-22,Индекс РТС,Индекс РТС,1877.99,1869.19,1901.91,1867.48,1131683857.623062,0.0,0.0,2.0,299455428509.8832,USD,159455366.0127,3,,2021-10-22,,RTSI
RTSI,RTSI,2021-10-25,Индекс РТС,Индекс РТС,1919.58,1885.1,1919.58,1879.69,1361827385.2345388,0.0,0.0,2.0,306086787000.649,USD,159455366.0127,3,,2021-10-25,,RTSI
RTSI,RTSI,2021-10-26,Индекс РТС,Индекс РТС,1916.29,1925.11,1933.59,1916.29,1334364922.2916646,0.0,0.0,2.0,305562552330.4311,USD,159455366.0127,3,,2021-10-26,,RTSI
RTSI,RTSI,2021-10-27,Индекс РТС,Индекс РТС,1891.28,1910.3,1914.54,1879.33,1235490357.605093,0.0,0.0,2.0,301574146511.4458,USD,159455366.0127,3,,2021-10-27,,RTSI
RTSI,RTSI,2021-10-28,Индекс РТС,Индекс РТС,1880.37,1874.63,1884.33,1857.28,1860081410.9615488,0.0,0.0,2.0,299835747265.87274,USD,159455366.0127,3,,2021-10-28,,RTSI
RTSI,RTSI,2021-10-29,Индекс РТС,Индекс РТС,1843.83,1872.94,1872.96,1829.85,1512481422.5871465,0.0,0.0,2.0,294008443427.1154,USD,159455366.0127,3,,2021-10-29,,RTSI
RTSI,RTSI,2021-11-01,Индекс РТС,Индекс РТС,1866.98,1838.95,1870.43,1838.95,1170145891.9815135,0.0,0.0,2.0,297700596307.54913,USD,159455366.0127,3,,2021-11-01,,RTSI
