date,SECID,model,market,err_rub,err_pct_face
2023-06-30,SU26233RMFS5,692.5936676477208,723.0999999999999,-30.50633235227906,-3.050633235227906
2023-09-27,SU26218RMFS6,812.258617916719,846.51,-34.25138208328099,-3.4251382083280992
2023-09-27,SU26224RMFS4,806.2637327036856,830.83,-24.566267296314436,-2.4566267296314437
2023-09-27,SU26230RMFS1,691.566359620219,762.9999999999999,-71.43364037978085,-7.143364037978086
2023-09-27,SU26231RMFS9,106.43394155248976,,,
2023-09-27,SU26233RMFS5,633.4285702804988,665.3599999999999,-31.931429719501125,-3.1931429719501123
2023-12-25,SU26218RMFS6,838.150831725188,870.3199999999999,-32.16916827481191,-3.2169168274811906
2023-12-25,SU26224RMFS4,798.6632318565873,827.66,-28.996768143412623,-2.8996768143412623
2023-12-25,SU26230RMFS1,709.0089778206149,741.3099999999998,-32.30102217938497,-3.230102217938497
2023-12-25,SU26231RMFS9,106.36866175035435,,,
2023-12-25,SU26233RMFS5,650.8863377769175,683.81,-32.92366222308249,-3.292366222308249
2024-03-27,SU26218RMFS6,771.4619565756053,796.59,-25.12804342439472,-2.512804342439472
2024-03-27,SU26224RMFS4,786.8271197016265,810.8,-23.97288029837341,-2.397288029837341
2024-03-27,SU26230RMFS1,618.0085581591151,700.89,-82.88144184088492,-8.288144184088491
2024-03-27,SU26231RMFS9,77.50319911202378,,,
2024-03-27,SU26233RMFS5,580.4879465015672,618.85,-38.36205349843283,-3.836205349843283
2024-06-26,SU26218RMFS6,707.2570149307694,745.96,-38.702985069230635,-3.8702985069230635
2024-06-26,SU26224RMFS4,695.9119754482479,730.29,-34.378024551752105,-3.4378024551752104
2024-06-26,SU26230RMFS1,566.5695569332187,606.3100000000001,-39.74044306678138,-3.974044306678138
2024-06-26,SU26231RMFS9,69.47820285690179,,,
2024-06-26,SU26233RMFS5,528.1679382456214,566.49,-38.32206175437864,-3.832206175437864
2024-09-23,SU26218RMFS6,642.1535764808357,730.31,-88.15642351916426,-8.815642351916427
2024-09-23,SU26224RMFS4,673.511475868494,711.8199999999999,-38.30852413150592,-3.830852413150592
2024-09-23,SU26230RMFS1,517.7097912877657,596.2700000000001,-78.56020871223438,-7.856020871223439
2024-09-23,SU26231RMFS9,69.58834107455309,,,
2024-09-23,SU26233RMFS5,483.44019215558654,530.32,-46.879807844413506,-4.687980784441351
2024-12-19,SU26218RMFS6,625.0605787192231,670.22,-45.15942128077688,-4.515942128077689
2024-12-19,SU26224RMFS4,619.8165765657633,675.0999999999999,-55.283423434236624,-5.528342343423662
2024-12-19,SU26230RMFS1,515.5818374264047,562.9300000000002,-47.34816257359546,-4.7348162573595465
2024-12-19,SU26231RMFS9,75.31543328977372,,,
2024-12-19,SU26233RMFS5,477.7150864977064,549.37,-71.6549135022936,-7.16549135022936
2025-03-21,SU26218RMFS6,718.1355730132905,792.9000000000001,-74.76442698670962,-7.4764426986709625
2025-03-21,SU26224RMFS4,757.5928163002441,784.06,-26.46718369975588,-2.646718369975588
2025-03-21,SU26230RMFS1,565.507806645951,640.5999999999999,-75.09219335404896,-7.509219335404896
2025-03-21,SU26231RMFS9,76.71414983865432,,,
2025-03-21,SU26233RMFS5,537.4043370710278,571.02,-33.61566292897214,-3.361566292897214
2025-06-23,SU26218RMFS6,742.8839022150414,782.33,-39.446097784958624,-3.9446097784958627
2025-06-23,SU26224RMFS4,754.6744458027338,786.91,-32.2355541972662,-3.2235554197266194
2025-06-23,SU26230RMFS1,573.0262167956141,618.48,-45.4537832043859,-4.54537832043859
2025-06-23,SU26231RMFS9,71.97678163770104,,,
2025-06-23,SU26233RMFS5,547.4077186478021,584.32,-36.912281352197965,-3.6912281352197964
2025-09-18,SU26218RMFS6,760.0565701292112,837.97,-77.91342987078883,-7.791342987078884
2025-09-18,SU26224RMFS4,809.6144189022637,835.6600000000001,-26.04558109773643,-2.604558109773643
2025-09-18,SU26230RMFS1,593.6871476791781,658.43,-64.74285232082184,-6.474285232082185
2025-09-18,SU26231RMFS9,85.47229310637053,,,
2025-09-18,SU26233RMFS5,568.9924807318348,592.55,-23.55751926816515,-2.3557519268165152
2025-12-16,SU26218RMFS6,778.0291138069495,818.5300000000001,-40.50088619305063,-4.050088619305063
2025-12-16,SU26224RMFS4,795.9694491286681,824.76,-28.790550871331902,-2.87905508713319
2025-12-16,SU26230RMFS1,617.093299217464,653.22,-36.12670078253598,-3.612670078253598
2025-12-16,SU26231RMFS9,94.85850014368248,,,
2025-12-16,SU26233RMFS5,586.843118132151,623.2,-36.3568818678491,-3.63568818678491
